ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
33,Insulin receptor,INSR,307070,M10051,P06213,INSR_HUMAN,1GAG; 1I44; 1IR3; 1IRK; 1P14; 1RQQ; 2AUH; 2B4S; 2HR7; 2MFR; 2Z8C; 3BU3; 3BU5; 3BU6; 3EKK; 3EKN; 3ETA; 3W11; 3W12; 3W13; 4IBM; 4OGA; 4XLV; 4XSS; 4XST; 4ZXB; 5E1S; 5HHW; 5J3H; 5KQV; 5U1M; 6HN4; 6HN5; 6PXV; 6PXW; 6SOF; 6VEP; 6VEQ; 7BW7; 7BW8; 7BWA; 7KD6; 7MQO; 7MQR; 7MQS; 7PG0; 7PG2; 7PG3; 7PG4; 7PHT; 7QID; 7S0Q; 7S8V; 7U6D; 7U6E; 7YQ3; 7YQ4; 7YQ5; 7YQ6; 8DWN; 8GUY; 8U4B; 8U4C; 8U4E; 8VJB; 8VJC,INSR,INSR,HGNC:6091,Humans,DB00030; DB00046; DB00047; DB00071; DB01277; DB01306; DB01307; DB01309; DB09129; DB09456; DB09564; DB12010; DB12267; DB14751; DB16693
9054,Probable arabinosyltransferase A,embA,,,P9WNL9,EMBA_MYCTU,,,,,Mycobacterium tuberculosis,DB00330
35,Cystinosin,CTNS,3036851,Y15924,O60931,CTNS_HUMAN,8DKE; 8DKI; 8DKM; 8DKW; 8DKX; 8DYP,CTNS,CTNS,HGNC:2518,Humans,DB00138
36,RAF proto-oncogene serine/threonine-protein kinase,RAF1,35842,X03484,P04049,RAF1_HUMAN,1C1Y; 1FAQ; 1FAR; 1GUA; 1RFA; 3CU8; 3IQJ; 3IQU; 3IQV; 3KUC; 3KUD; 3NKX; 3O8I; 3OMV; 4FJ3; 4G0N; 4G3X; 4IEA; 4IHL; 6NTC; 6NTD; 6PTS; 6PTW; 6VJJ; 6XGU; 6XGV; 6XHA; 6XHB; 6XI7; 7JHP; 7Z37; 7Z38; 8A68; 8A6F; 8A6H; 8ATR; 8ATS; 8AV0; 8CHF; 8CPD; 8EPW; 8GAE; 8GFT; 8JOF; 8JOG; 8T74; 8T75; 8U1L; 9AXA; 9AXC; 9AY7; 9AYA,RAF1,RAF1,HGNC:9829,Humans,DB00398; DB08862; DB08896; DB08912; DB11718; DB12010; DB15266
37,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,1935056,U65579,O00217,NDUS8_HUMAN,5XTB; 5XTD; 5XTH; 5XTI,NDUFS8,NDUFS8,HGNC:7715,Humans,DB00157
38,Phenylalanine--tRNA ligase alpha subunit,FARSA,2102679,U07424,Q9Y285,SYFA_HUMAN,3L4G,FARSA,FARSLA,HGNC:3592,Humans,DB00120
39,Transketolase,TKT,37267,X67688,P29401,TKT_HUMAN,3MOS; 3OOY; 4KXU; 4KXV; 4KXW; 4KXX; 4KXY; 6HA3; 6HAD; 6RJB; 8WA8; 8WA9; 8WAA,TKT,TKT,HGNC:11834,Humans,DB09130
40,"Lipoyl amidotransferase LIPT1, mitochondrial",LIPT1,4586380,AB017566,Q9Y234,LIPT_HUMAN,,LIPT1,LIPT1,HGNC:29569,Humans,DB00166
41,Coagulation factor V,F5,182412,M16967,P12259,FA5_HUMAN,1CZS; 1CZT; 1CZV; 3P6Z; 3P70; 3S9C; 7KVE; 7KVF; 7KXY; 7TPP; 8FDG; 8TN9; 9CTH,F5,F5,HGNC:3542,Humans,DB00055; DB05777; DB11300; DB11312; DB11571; DB11572; DB13149; DB13151
42,Pyridoxal kinase,PDXK,1946349,U89606,O00764,PDXK_HUMAN,2AJP; 2F7K; 2YXT; 2YXU; 3FHX; 3FHY; 3KEU; 4EN4; 4EOH; 8WR2,PDXK,PDXK,HGNC:8819,Humans,DB00165
43,Endothelin receptor type B,EDNRB,182276,M74921,P24530,EDNRB_HUMAN,5GLH; 5GLI; 5X93; 5XPR; 6IGK; 6IGL; 6LRY; 8HBD; 8HCX; 8IY5; 8IY6; 8XGR; 8XVE; 8XVH,EDNRB,EDNRB,HGNC:3180,Humans,DB00559; DB06268; DB06403; DB08932; DB15059
44,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",NSDHL,4457237,U47105,Q15738,NSDHL_HUMAN,6JKG; 6JKH,NSDHL,NSDHL,HGNC:13398,Humans,DB00157
45,Muscarinic acetylcholine receptor M3,CHRM3,32324,X15266,P20309,ACM3_HUMAN,2CSA; 8E9W; 8E9Y; 8E9Z; 8EA0,CHRM3,CHRM3,HGNC:1952,Humans,DB00185; DB00193; DB00202; DB00209; DB00246; DB00280; DB00332; DB00334; DB00342; DB00363; DB00376; DB00383; DB00387; DB00408; DB00411; DB00424; DB00434; DB00458; DB00462; DB00477; DB00496; DB00502; DB00517; DB00572; DB00599; DB00622; DB00725; DB00747; DB00804; DB00809; DB00835; DB00934; DB00940; DB00986; DB01019; DB01036; DB01062; DB01069; DB01085; DB01142; DB01151; DB01224; DB01226; DB01231; DB01238; DB01239; DB01337; DB01338; DB01403; DB01409; DB01591; DB01625; DB03128; DB04843; DB06153; DB06702; DB06709; DB06787; DB08897; DB09076; DB09089; DB09167; DB09185; DB09300; DB11181; DB11235; DB11315; DB12278; DB13262; DB13720; DB14185; DB15357; DB19325
46,Pyruvate kinase PKLR,PKLR,3327365,AB015983,P30613,KPYR_HUMAN,2VGB; 2VGF; 2VGG; 2VGI; 4IMA; 4IP7; 5SC8; 5SC9; 5SCA; 5SCB; 5SCC; 5SCD; 5SCE; 5SCF; 5SCG; 5SCH; 5SCI; 5SCJ; 5SCK; 5SCL; 5SDT; 6NN4; 6NN5; 6NN7; 6NN8; 7FRV; 7FRW; 7FRX; 7FRY; 7FRZ; 7FS0; 7FS1; 7FS2; 7FS3; 7FS4; 7FS5; 7FS6; 7FS7; 7FS8; 7FS9; 7FSA; 7FSB; 7FSC; 7FSD; 7QDN; 7QZU; 8TBS; 8TBT; 8TBU; 8XFD,PKLR,PKLR,HGNC:9020,Humans,DB00119; DB16236
47,Solute carrier family 12 member 5,SLC12A5,12003227,AF208159,Q9H2X9,S12A5_HUMAN,6M23; 7D8Z,SLC12A5,SLC12A5,HGNC:13818,Humans,DB00761; DB00887
48,Prothrombin,F2,339641,M17262,P00734,THRB_HUMAN,1A2C; 1A3B; 1A3E; 1A46; 1A4W; 1A5G; 1A61; 1ABI; 1ABJ; 1AD8; 1AE8; 1AFE; 1AHT; 1AI8; 1AIX; 1AWF; 1AWH; 1AY6; 1B5G; 1B7X; 1BA8; 1BB0; 1BCU; 1BHX; 1BMM; 1BMN; 1BTH; 1C1U; 1C1V; 1C1W; 1C4U; 1C4V; 1C4Y; 1C5L; 1C5N; 1C5O; 1CA8; 1D3D; 1D3P; 1D3Q; 1D3T; 1D4P; 1D6W; 1D9I; 1DE7; 1DIT; 1DM4; 1DOJ; 1DWB; 1DWC; 1DWD; 1DWE; 1DX5; 1E0F; 1EB1; 1EOJ; 1EOL; 1FPC; 1FPH; 1G30; 1G32; 1G37; 1GHV; 1GHW; 1GHX; 1GHY; 1GJ4; 1GJ5; 1H8D; 1H8I; 1HAG; 1HAH; 1HAI; 1HAO; 1HAP; 1HBT; 1HDT; 1HGT; 1HLT; 1HUT; 1HXE; 1HXF; 1IHS; 1IHT; 1JMO; 1JOU; 1JWT; 1K21; 1K22; 1KTS; 1KTT; 1LHC; 1LHD; 1LHE; 1LHF; 1LHG; 1MH0; 1MU6; 1MU8; 1MUE; 1NM6; 1NO9; 1NRN; 1NRO; 1NRP; 1NRQ; 1NRR; 1NRS; 1NT1; 1NU7; 1NU9; 1NY2; 1NZQ; 1O0D; 1O2G; 1O5G; 1OOK; 1OYT; 1P8V; 1PPB; 1QBV; 1QHR; 1QJ1; 1QJ6; 1QJ7; 1QUR; 1RD3; 1RIW; 1SB1; 1SFQ; 1SG8; 1SGI; 1SHH; 1SL3; 1SR5; 1T4U; 1T4V; 1TA2; 1TA6; 1TB6; 1TBZ; 1THP; 1THR; 1THS; 1TMB; 1TMT; 1TMU; 1TOM; 1TQ0; 1TQ7; 1TWX; 1UMA; 1UVS; 1VR1; 1VZQ; 1W7G; 1WAY; 1WBG; 1XM1; 1XMN; 1YPE; 1YPG; 1YPJ; 1YPK; 1YPL; 1YPM; 1Z71; 1Z8I; 1Z8J; 1ZGI; 1ZGV; 1ZRB; 2A0Q; 2A2X; 2A45; 2AFQ; 2ANK; 2ANM; 2B5T; 2BDY; 2BVR; 2BVS; 2BVX; 2BXT; 2BXU; 2C8W; 2C8X; 2C8Y; 2C8Z; 2C90; 2C93; 2CF8; 2CF9; 2CN0; 2FEQ; 2FES; 2GDE; 2GP9; 2H9T; 2HGT; 2HNT; 2HPP; 2HPQ; 2HWL; 2JH0; 2JH5; 2JH6; 2OD3; 2PGB; 2PGQ; 2PKS; 2PW8; 2R2M; 2THF; 2UUF; 2UUJ; 2UUK; 2V3H; 2V3O; 2ZC9; 2ZDA; 2ZDV; 2ZF0; 2ZFF; 2ZFP; 2ZFQ; 2ZFR; 2ZG0; 2ZGB; 2ZGX; 2ZHE; 2ZHF; 2ZHQ; 2ZHW; 2ZI2; 2ZIQ; 2ZNK; 2ZO3; 3B23; 3B9F; 3BEF; 3BEI; 3BF6; 3BIU; 3BIV; 3BV9; 3C1K; 3C27; 3D49; 3DA9; 3DD2; 3DHK; 3DT0; 3DUX; 3E6P; 3EE0; 3EGK; 3EQ0; 3F68; 3GIC; 3GIS; 3HAT; 3HKJ; 3HTC; 3JZ1; 3JZ2; 3K65; 3LDX; 3LU9; 3NXP; 3P17; 3P6Z; 3P70; 3PMH; 3PO1; 3QDZ; 3QGN; 3QLP; 3QTO; 3QTV; 3QWC; 3QX5; 3R3G; 3RLW; 3RLY; 3RM0; 3RM2; 3RML; 3RMM; 3RMN; 3RMO; 3S7H; 3S7K; 3SHA; 3SHC; 3SI3; 3SI4; 3SQE; 3SQH; 3SV2; 3T5F; 3TU7; 3U69; 3U8O; 3U8R; 3U8T; 3U98; 3U9A; 3UTU; 3UWJ; 3VXE; 3VXF; 4AX9; 4AYV; 4AYY; 4AZ2; 4BAH; 4BAK; 4BAM; 4BAN; 4BAO; 4BAQ; 4BOH; 4CH2; 4CH8; 4DIH; 4DII; 4DT7; 4DY7; 4E05; 4E06; 4E7R; 4H6S; 4H6T; 4HFP; 4HTC; 4HZH; 4I7Y; 4LOY; 4LXB; 4LZ1; 4LZ4; 4MLF; 4NZQ; 4O03; 4RKJ; 4RKO; 4RN6; 4THN; 4UD9; 4UDW; 4UE7; 4UEH; 4UFD; 4UFE; 4UFF; 4UFG; 4YES; 5A2M; 5AF9; 5AFY; 5AFZ; 5AHG; 5CMX; 5DO4; 5E8E; 5EDK; 5EDM; 5EW1; 5EW2; 5GDS; 5GIM; 5JDU; 5JFD; 5JZY; 5L6N; 5MJT; 5MLS; 5MM6; 5NHU; 5TO3; 5Z5W; 5Z5X; 6BJR; 6C2W; 6EO6; 6EO7; 6EO8; 6EO9; 6V5T; 7KME; 7TPP; 8BWW; 8KME; 8UF7; 9CTH,F2,F2,HGNC:3535,Humans,DB00001; DB00006; DB00055; DB00100; DB00114; DB00170; DB00278; DB01123; DB01125; DB01225; DB01593; DB04898; DB05777; DB06404; DB06695; DB09109; DB09130; DB09228; DB09332; DB11166; DB13151; DB13152; DB14487; DB14726; DB14738
49,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,182488,M33195,P30273,FCERG_HUMAN,7Q5T,FCER1G,FCER1G,HGNC:3611,Humans,DB00895
50,Delta-aminolevulinic acid dehydratase,ALAD,178329,M13928,P13716,HEM2_HUMAN,1E51; 1PV8; 5HMS; 5HNR,ALAD,ALAD,HGNC:395,Humans,DB00855
51,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,HSD3B1,306889,M27137,P14060,3BHS1_HUMAN,,HSD3B1,HSD3B1,HGNC:5217,Humans,DB00157; DB01108; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544
52,Cationic amino acid transporter 4,SLC7A4,4378940,AJ000730,O43246,CTR4_HUMAN,,SLC7A4,SLC7A4,HGNC:11062,Humans,DB00123
55,Glycine receptor subunit beta,GLRB,992687,U33267,P48167,GLRB_HUMAN,5BKF; 5BKG; 7KUY; 7L31; 8DN2; 8DN3; 8DN4; 8DN5,GLRB,GLRB,HGNC:4329,Humans,DB00145; DB00431; DB01956
57,Neuraminidase,NA,324460,K01150,P06818,NRAM_I79A0,,,,,Influenza A virus (strain A/Bangkok/1/1979 H3N2),DB00558; DB06614
58,Matrix metalloproteinase-9,MMP9,177205,J05070,P14780,MMP9_HUMAN,1GKC; 1GKD; 1ITV; 1L6J; 2OVX; 2OVZ; 2OW0; 2OW1; 2OW2; 4H1Q; 4H2E; 4H3X; 4H82; 4HMA; 4JIJ; 4JQG; 4WZV; 4XCT; 5CUH; 5I12; 5TH6; 5TH9; 5UE3; 5UE4; 6ESM; 8K5V; 8K5W; 8K5X; 8K5Y,MMP9,MMP9,HGNC:7176,Humans,DB00143; DB01017; DB01197; DB01593; DB11672; DB14487; DB14533; DB14548
59,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2,184401,M67466,P26439,3BHS2_HUMAN,,HSD3B2,HSD3B2,HGNC:5218,Humans,DB00157; DB01108
60,Prolyl 4-hydroxylase subunit alpha-1,P4HA1,190786,M24486,P13674,P4HA1_HUMAN,1TJC; 2V5F; 2YQ8; 4BT8; 4BT9; 4BTA; 4BTB,P4HA1,P4HA1,HGNC:8546,Humans,DB00126; DB01275
61,Cannabinoid receptor 1,CNR1,29915,X54937,P21554,CNR1_HUMAN,1LVQ; 1LVR; 2B0Y; 2KOE; 2MZ2; 2MZ3; 2MZA; 5TGZ; 5U09; 5XR8; 5XRA; 6KPG; 6KQI; 6N4B; 7FEE; 7V3Z; 7WV9; 8GAG; 8GHV; 8IKG; 8IKH; 8K8J; 8WRZ; 8WU1; 9ERX,CNR1,CNR1,HGNC:2159,Humans,DB00470; DB00486; DB01083; DB06155; DB09061
62,Type-1 angiotensin II receptor,AGTR1,179122,M91464,P30556,AGTR1_HUMAN,4YAY; 4ZUD; 6DO1; 6OS0; 6OS1; 6OS2,AGTR1,AGTR1,HGNC:336,Humans,DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB08822; DB11842; DB12548
64,Prostaglandin E2 receptor EP1 subtype,PTGER1,410209,L22647,P34995,PE2R1_HUMAN,,PTGER1,PTGER1,HGNC:9593,Humans,DB00297; DB00429; DB00770; DB00905; DB00917; DB00929; DB01088; DB12789; DB15071
65,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",DLAT,35360,Y00978,P10515,ODP2_HUMAN,1FYC; 1Y8N; 1Y8O; 1Y8P; 2DNE; 2PNR; 2Q8I; 3B8K; 3CRK; 3CRL; 6CT0; 6H55; 8PIU,DLAT,DLAT,HGNC:2896,Humans,DB00157
66,B-lymphocyte antigen CD20,MS4A1,29774,X12530,P11836,CD20_HUMAN,2OSL; 3BKY; 3PP4; 6VJA; 6Y90; 6Y92; 6Y97; 6Y9A,MS4A1,MS4A1,HGNC:7315,Humans,DB00073; DB00078; DB00081; DB06650; DB08935; DB09336; DB11850; DB11988; DB15434; DB16371; DB16672
